Id,Creation Time,Owner,Monitoring Time,sil,complexity,pipeline,clusters,dataset,case_labels
PM-112,2023-06-05 16:55:07,matheus.camilo,304,0.915,0.0365,"MiniBatchKMeans(input_matrix, encoding=alignments, init=k-means++, max_iter=200, n_clusters=82)",49.0,helpdesk.csv,helpdesk.csv_6478a1e770c454f6d9d9a35a.csv
PM-111,2023-06-05 16:49:42,matheus.camilo,324,0.9717,0.0005,"DBSCAN(CombineDFs(input_matrix, input_matrix), encoding=alignments, eps=10.0, leaf_size=25, metric=manhattan, min_samples=1)",222.0,helpdesk.csv,helpdesk.csv_6478a1e770c454f6d9d9a359.csv
PM-110,2023-06-05 16:29:03,matheus.camilo,1238,0.9773,0.019,"DBSCAN(CombineDFs(input_matrix, input_matrix), encoding=word2vec, eps=0.01, leaf_size=50, metric=l2, min_samples=1)",185.0,helpdesk.csv,helpdesk.csv_6478a1e770c454f6d9d9a358.csv
PM-109,2023-06-05 16:14:46,matheus.camilo,856,0.9491,0.0352,"AgglomerativeClustering(input_matrix, encoding=word2vec, linkage=complete, metric=cityblock, n_clusters=99)",99.0,helpdesk.csv,helpdesk.csv_6478a1e770c454f6d9d9a357.csv
PM-108,2023-06-05 16:09:25,matheus.camilo,321,0.9181,0.0364,"MiniBatchKMeans(StandardScaler(input_matrix), encoding=node2vec, init=k-means++, max_iter=200, n_clusters=89)",47.0,helpdesk.csv,helpdesk.csv_6478a1e770c454f6d9d9a356.csv
PM-107,2023-06-05 16:04:42,matheus.camilo,283,0.9305,0.0401,"MiniBatchKMeans(input_matrix, encoding=alignments, init=k-means++, max_iter=400, n_clusters=78)",48.0,helpdesk.csv,helpdesk.csv_6478a1e770c454f6d9d9a355.csv
PM-85,2023-06-05 14:36:22,matheus.camilo,175,0.9072,0.0699,"MiniBatchKMeans(input_matrix, encoding=node2vec, init=k-means++, max_iter=300, n_clusters=56)",42.0,bpi_2013_closed_problems.csv,bpi_2013_closed_problems.csv_6478a1e770c454f6d9d9a33f.csv
PM-84,2023-06-05 14:28:19,matheus.camilo,483,0.9236,1.0,"MiniBatchKMeans(input_matrix, encoding=node2vec, init=random, max_iter=100, n_clusters=80)",47.0,bpi_2013_closed_problems.csv,bpi_2013_closed_problems.csv_6478a1e770c454f6d9d9a33e.csv
PM-83,2023-06-05 14:26:39,matheus.camilo,100,0.9209,1.0,"MiniBatchKMeans(CombineDFs(input_matrix, input_matrix), encoding=node2vec, init=random, max_iter=200, n_clusters=84)",50.0,bpi_2013_closed_problems.csv,bpi_2013_closed_problems.csv_6478a1e770c454f6d9d9a33d.csv
PM-82,2023-06-05 14:24:43,matheus.camilo,115,0.8697,0.0789,"SpectralClustering(input_matrix, affinity=nearest_neighbors, eigen_solver=arpack, encoding=alignments, n_clusters=71)",71.0,bpi_2013_closed_problems.csv,bpi_2013_closed_problems.csv_6478a1e770c454f6d9d9a33c.csv
